date,match_id,home,away,outcome,p_model,p_market,edge_pp,edge_rel,fair_odds,market_odds
2026-06-27,WC26-PAN-ENG-2026-06-27,Panama,England,draw,0.2158,0.1473,6.85,0.465,+363,+579
2026-06-27,WC26-PAN-ENG-2026-06-27,Panama,England,away,0.6584,0.74,-8.16,-0.11,-193,-285
2026-06-27,WC26-ALG-AUT-2026-06-27,Algeria,Austria,home,0.3638,0.2605,10.33,0.397,+175,+284
2026-06-27,WC26-ALG-AUT-2026-06-27,Algeria,Austria,draw,0.2903,0.3053,-1.5,-0.049,+244,+228
2026-06-27,WC26-ALG-AUT-2026-06-27,Algeria,Austria,away,0.3459,0.4342,-8.83,-0.203,+189,+130
2026-06-27,WC26-JOR-ARG-2026-06-27,Jordan,Argentina,home,0.0715,0.0687,0.28,0.041,+1299,+1356
2026-06-27,WC26-JOR-ARG-2026-06-27,Jordan,Argentina,draw,0.1605,0.1373,2.32,0.169,+523,+628
2026-06-27,WC26-JOR-ARG-2026-06-27,Jordan,Argentina,away,0.768,0.794,-2.6,-0.033,-331,-385
2026-06-27,WC26-COL-POR-2026-06-27,Colombia,Portugal,home,0.3852,0.2751,11.01,0.4,+160,+264
2026-06-27,WC26-COL-POR-2026-06-27,Colombia,Portugal,draw,0.2895,0.2874,0.21,0.007,+245,+248
2026-06-27,WC26-COL-POR-2026-06-27,Colombia,Portugal,away,0.3253,0.4376,-11.23,-0.257,+207,+129
2026-06-27,WC26-COD-UZB-2026-06-27,DR Congo,Uzbekistan,home,0.304,0.4086,-10.46,-0.256,+229,+145
2026-06-27,WC26-COD-UZB-2026-06-27,DR Congo,Uzbekistan,draw,0.2876,0.2866,0.1,0.003,+248,+249
2026-06-27,WC26-COD-UZB-2026-06-27,DR Congo,Uzbekistan,away,0.4084,0.3048,10.36,0.34,+145,+228
2026-06-27,WC26-CRO-GHA-2026-06-27,Croatia,Ghana,home,0.7097,0.5761,13.36,0.232,-244,-136
2026-06-27,WC26-CRO-GHA-2026-06-27,Croatia,Ghana,draw,0.1915,0.2494,-5.79,-0.232,+422,+301
2026-06-27,WC26-CRO-GHA-2026-06-27,Croatia,Ghana,away,0.0987,0.1746,-7.59,-0.435,+913,+473
